"subject","game","choice"
65,"ac_10",3
66,"ac_1",1
66,"ac_2",2
66,"ac_3",2
66,"ac_4",2
66,"ac_5",2
66,"ac_6",3
66,"ac_7",3
66,"ac_8",3
66,"ac_9",3
66,"ac_10",3
67,"ac_1",1
67,"ac_2",3
67,"ac_3",2
67,"ac_4",3
67,"ac_5",3
67,"ac_6",3
67,"ac_7",1
67,"ac_8",1
67,"ac_9",1
67,"ac_10",1
68,"ac_1",2
68,"ac_2",1
68,"ac_3",2
68,"ac_4",1
68,"ac_5",2
68,"ac_6",3
68,"ac_7",1
68,"ac_8",1
68,"ac_9",3
68,"ac_10",3
69,"ac_1",3
69,"ac_2",1
69,"ac_3",1
69,"ac_4",1
69,"ac_5",2
69,"ac_6",3
69,"ac_7",3
69,"ac_8",3
69,"ac_9",3
69,"ac_10",3
70,"ac_1",3
70,"ac_2",2
70,"ac_3",1
70,"ac_4",1
70,"ac_5",1
70,"ac_6",1
70,"ac_7",1
70,"ac_8",1
70,"ac_9",1
70,"ac_10",3
71,"ac_1",3
71,"ac_2",1
71,"ac_3",1
71,"ac_4",3
71,"ac_5",2
71,"ac_6",3
71,"ac_7",1
71,"ac_8",3
71,"ac_9",2
71,"ac_10",2
72,"ac_1",2
72,"ac_2",3
72,"ac_3",2
72,"ac_4",2
72,"ac_5",2
72,"ac_6",3
72,"ac_7",3
72,"ac_8",3
72,"ac_9",3
72,"ac_10",3
73,"ac_1",3
73,"ac_2",1
73,"ac_3",2
73,"ac_4",1
73,"ac_5",1
73,"ac_6",3
73,"ac_7",3
73,"ac_8",3
73,"ac_9",2
73,"ac_10",3
74,"ac_1",3
74,"ac_2",1
74,"ac_3",1
74,"ac_4",1
74,"ac_5",1
74,"ac_6",3
74,"ac_7",3
74,"ac_8",3
74,"ac_9",3
74,"ac_10",3
75,"ac_1",3
75,"ac_2",1
75,"ac_3",1
75,"ac_4",1
75,"ac_5",3
75,"ac_6",3
75,"ac_7",2
75,"ac_8",3
75,"ac_9",3
75,"ac_10",3
76,"ac_1",1
76,"ac_2",1
76,"ac_3",2
76,"ac_4",3
76,"ac_5",3
76,"ac_6",3
76,"ac_7",3
76,"ac_8",3
76,"ac_9",3
76,"ac_10",3
77,"ac_1",2
77,"ac_2",1
77,"ac_3",2
77,"ac_4",1
77,"ac_5",2
77,"ac_6",1
77,"ac_7",2
77,"ac_8",2
77,"ac_9",2
77,"ac_10",2
78,"ac_1",3
78,"ac_2",1
78,"ac_3",1
78,"ac_4",1
78,"ac_5",1
78,"ac_6",3
78,"ac_7",3
78,"ac_8",2
78,"ac_9",3
78,"ac_10",3
79,"ac_1",1
79,"ac_2",3
79,"ac_3",1
79,"ac_4",1
79,"ac_5",1
79,"ac_6",3
79,"ac_7",1
79,"ac_8",3
79,"ac_9",3
79,"ac_10",1
80,"ac_1",1
80,"ac_2",1
80,"ac_3",1
80,"ac_4",1
80,"ac_5",1
80,"ac_6",3
80,"ac_7",1
80,"ac_8",1
80,"ac_9",1
80,"ac_10",3
81,"ac_1",1
81,"ac_2",3
81,"ac_3",2
81,"ac_4",2
81,"ac_5",1
81,"ac_6",1
81,"ac_7",1
81,"ac_8",2
81,"ac_9",2
81,"ac_10",3
82,"ac_1",3
82,"ac_2",1
82,"ac_3",1
82,"ac_4",1
82,"ac_5",1
82,"ac_6",1
82,"ac_7",2
82,"ac_8",2
82,"ac_9",1
82,"ac_10",1
83,"ac_1",2
83,"ac_2",1
83,"ac_3",2
83,"ac_4",1
83,"ac_5",1
83,"ac_6",3
83,"ac_7",3
83,"ac_8",3
83,"ac_9",3
83,"ac_10",3
84,"ac_1",3
84,"ac_2",3
84,"ac_3",3
84,"ac_4",3
84,"ac_5",3
84,"ac_6",3
84,"ac_7",3
84,"ac_8",1
84,"ac_9",3
84,"ac_10",3
85,"ac_1",1
85,"ac_2",1
85,"ac_3",2
85,"ac_4",2
85,"ac_5",2
85,"ac_6",3
85,"ac_7",3
85,"ac_8",3
85,"ac_9",3
85,"ac_10",2
86,"ac_1",3
86,"ac_2",3
86,"ac_3",3
86,"ac_4",3
86,"ac_5",2
86,"ac_6",3
86,"ac_7",3
86,"ac_8",2
86,"ac_9",3
86,"ac_10",2
87,"ac_1",3
87,"ac_2",1
87,"ac_3",3
87,"ac_4",1
87,"ac_5",1
87,"ac_6",3
87,"ac_7",1
87,"ac_8",1
87,"ac_9",1
87,"ac_10",1
88,"ac_1",2
88,"ac_2",1
88,"ac_3",3
88,"ac_4",2
88,"ac_5",2
88,"ac_6",3
88,"ac_7",3
88,"ac_8",3
88,"ac_9",3
88,"ac_10",3
89,"ac_1",2
89,"ac_2",2
89,"ac_3",1
89,"ac_4",1
89,"ac_5",1
89,"ac_6",3
89,"ac_7",1
89,"ac_8",1
89,"ac_9",1
89,"ac_10",1
90,"ac_1",3
90,"ac_2",1
90,"ac_3",2
90,"ac_4",3
90,"ac_5",2
90,"ac_6",2
90,"ac_7",3
90,"ac_8",3
90,"ac_9",3
90,"ac_10",3
91,"ac_1",3
91,"ac_2",2
91,"ac_3",1
91,"ac_4",2
91,"ac_5",3
91,"ac_6",3
91,"ac_7",3
91,"ac_8",2
91,"ac_9",2
91,"ac_10",3
92,"ac_1",3
92,"ac_2",3
92,"ac_3",1
92,"ac_4",2
92,"ac_5",2
92,"ac_6",3
92,"ac_7",1
92,"ac_8",2
92,"ac_9",1
92,"ac_10",3
93,"ac_1",2
93,"ac_2",2
93,"ac_3",1
93,"ac_4",3
93,"ac_5",1
93,"ac_6",3
93,"ac_7",3
93,"ac_8",3
93,"ac_9",1
93,"ac_10",3
94,"ac_1",3
94,"ac_2",1
94,"ac_3",1
94,"ac_4",1
94,"ac_5",1
94,"ac_6",1
94,"ac_7",1
94,"ac_8",1
94,"ac_9",2
94,"ac_10",1
95,"ac_1",1
95,"ac_2",1
95,"ac_3",3
95,"ac_4",3
95,"ac_5",3
95,"ac_6",1
95,"ac_7",3
95,"ac_8",3
95,"ac_9",3
95,"ac_10",3
96,"ac_1",1
96,"ac_2",1
96,"ac_3",1
96,"ac_4",2
96,"ac_5",3
96,"ac_6",3
96,"ac_7",1
96,"ac_8",3
96,"ac_9",1
96,"ac_10",2
97,"ac_1",3
97,"ac_2",1
97,"ac_3",3
97,"ac_4",2
97,"ac_5",2
97,"ac_6",1
97,"ac_7",1
97,"ac_8",1
97,"ac_9",1
97,"ac_10",1
98,"ac_1",3
